Period,Return %,VOO return %,Excess vs VOO %,Annualized %,Sharpe,Max drawdown %,Recovery sessions,TQQQ time %,Turnover,Sessions
rolling_756_2023-09-14,-6.1408480710749895,41.29307721054045,-47.433925281615444,-2.5126017110178034,0.26930352878371927,-75.47684267106582,-1,53.835978835978835,1.0,756
rolling_756_2023-12-13,-0.6120810595544035,34.43227054237843,-35.04435160193283,-0.16177302029722895,0.30819384329472627,-75.47684267106582,-1,62.16931216931217,1.0,756
rolling_756_2024-03-15,0.41247473041134963,35.08752383903699,-34.67504910862564,0.17500180107181684,0.3133942835130668,-75.4768426710658,-1,62.16931216931217,2.0,756
rolling_756_2024-06-14,-0.682760363101409,33.61407547316961,-34.29683583627102,-0.15837776376096402,0.307434029687433,-75.47684267106585,-1,62.16931216931217,2.0,756
rolling_756_2024-09-16,-1.8941418981982872,31.98437226706954,-33.87851416526782,-0.4620284823739107,0.3013567887467849,-75.47684267106585,-1,62.16931216931217,2.0,756
rolling_756_2024-12-13,-0.08572178741610426,34.417287056613446,-34.50300884402955,0.26874429527490307,0.31090538355359887,-75.47684267106582,-1,62.16931216931217,2.0,756
rolling_756_2025-03-19,53.45138272855308,42.347601371859135,11.103781356693943,11.93949315867824,0.537933913890062,-74.03888077896552,656,58.333333333333336,1.0,756
rolling_756_2025-06-18,201.1485182968898,66.91208992805784,134.23642836883195,43.89402888719878,0.9751487551285903,-58.23124339228058,166,53.43915343915344,2.0,756
rolling_756_2025-09-18,270.78525403332276,76.21287545180557,194.57237858151717,53.38168180943998,1.1889488855731634,-38.516762958836146,36,53.43915343915344,2.0,756
rolling_756_2025-12-17,354.60656440231685,75.79451941655897,278.8120449857579,63.645977238593154,1.5397159856899325,-33.14182095559578,47,47.22222222222222,3.0,756
rolling_756_2026-03-20,311.5275709782555,74.1821838416865,237.34538713656903,55.96201655888893,1.6542472246683588,-33.14182095559579,47,38.88888888888889,3.0,756
rolling_756_2026-06-22,292.62195749457413,77.8654270509832,214.75653044359095,55.50027702031291,1.6162821993147574,-33.14182095559586,47,35.978835978835974,5.0,756
rolling_1260_2015-09-10,195.25997282716796,92.95950654373976,102.3004662834282,24.453648995763878,0.8095447144945922,-43.91141392057016,173,27.3015873015873,6.0,1260
rolling_1260_2015-12-09,183.52442215197996,84.77098956738645,98.75343258459353,23.06253136653669,0.7771261082730497,-43.911413920570176,173,29.841269841269842,7.0,1260
rolling_1260_2016-03-11,110.84542984133306,69.3378739053944,41.50755593593865,16.50271463134283,0.5839788192362402,-45.39739723744647,-1,34.84126984126984,7.0,1260
rolling_1260_2016-06-10,150.0519070131405,81.14813426714531,68.90377274599517,19.913236363562902,0.6716625380069677,-45.397397237446455,-1,36.82539682539683,8.0,1260
rolling_1260_2016-09-09,181.35929138935697,96.34613835462798,85.01315303472899,23.303814900520937,0.7985323936967504,-45.39739723744651,-1,32.698412698412696,7.0,1260
